codigo,descricao
32802,Companhia de Pesquisa de Recursos Minerais
32991,Reserva Global de Reversão/Eletrobrás
32992,Conta de Desenvolvimento Energético
32993,Conta Consumo de Combustíveis Fósseis
33000,Ministério da Previdência Social - Unidades com vínculo direto
33206,Superintendência Nacional de Previdência Complementar
33801,"Subsecretaria de Planejamento, Orçamento e Administração/MPS"
34000,Ministério Público da União - Unidades com vínculo direto
34201,CODIGO INVALIDO
34205,CODIGO INVALIDO
34801,Ministério Público Federal
34802,Ministério Público do Trabalho
34902,Fundo Nacional de Cultura
35000,Ministério das Relações Exteriores - Unidades com vínculo direto
35201,Fundação Alexandre de Gusmão
36000,Ministério da Saúde - Unidades com vínculo direto
36201,Fundação Oswaldo Cruz
36208,Hospital Cristo Redentor S.A.
36209,Hospital Fêmina S.A.
36210,Hospital Nossa Senhora da Conceição S.A.
36211,Fundação Nacional de Saúde
36212,Agência Nacional de Vigilância Sanitária
36213,Agência Nacional de Saúde Suplementar
36401,CODIGO INVALIDO
37000,Controladoria-Geral da União - Unidades com vínculo direto
37201,"Fundação Jorge Duprat Figueiredo, de Segurança e Medicina do Trabalho"
37202,Instituto Nacional do Seguro Social
37904,Fundo do Regime Geral da Previdência Social
38000,Ministério do Trabalho e Emprego - Unidades com vínculo direto
38091,CODIGO INVALIDO
38299,Rede Ferroviária Federal S.A.
38500,Conselho Federal de Contabilidade
38505,Conselho Regional de Contabilidade do DF
38518,Conselho Regional de Contabilidade do Rio de Janeiro
38801,"Subsecretaria de Planejamento, Orçamento e Administração/MTE"
38802,Secretaria de Políticas Públicas de Emprego
38803,Delegacia Regional do Trabalho de São Paulo
38901,Fundo de Amparo ao Trabalhador
39000,Ministério dos Transportes - Unidades com vínculo direto
39250,Agência Nacional de Transportes Terrestres
39251,Agência Nacional de Transportes Aquaviários
39252,Departamento Nacional de Infraestrutura de Transportes
39253,Empresa de Planejamento e Logística S.A.
39801,Subsecretaria de Assuntos Administrativos/MT
39802,Subsecretaria de Planejamento e Orçamento/ MT
39811,Companhia Docas do Rio de Janeiro
39812,Companhia Docas do Estado da Bahia
39813,Companhia Docas do Ceará
39814,Companhia Docas do Pará
39815,Companhia Docas do Rio Grande do Norte
39816,Companhia Docas do Estado de São Paulo
39817,Companhia Docas do Espírito Santo
40000,Ministério do Trabalho e Emprego - Unidades com vínculo direto
40415,CODIGO INVALIDO
41000,Ministério das Comunicações - Unidades com vínculo direto
41231,Agêncial Nacional de Telecomunicações
41232,Fundo de Universalização dos Serviços de Telecomunicações
41233,Fundo de Fiscalização das Telecomunicações
41801,"Subsecretaria de Planejamento, Orçamento e Administração/MC"
41903,Fundo para o Desenvolvimento Tecnológico das Telecomunicações
42000,Ministério da Cultura - Unidades com vínculo direto
42207,Instituto Brasileiro de Museus
42801,Diretoria de Gestão Interna - Ministério da Cultura
44000,Ministério do Meio Ambiente e Mudança do Clima - Unidades com vínculo direto
44204,Fundo Nacional do Meio Ambiente
44205,Agência Nacional de Águas e Saneamento Básico
44206,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro
44207,Instituto Chico Mendes de Conservação da Biodiversidade
44208,Serviço Florestal Brasileiro
44444,Transferência Voluntária - Portal SICONV - Unidades com vínculo direto
44801,"Subsecretaria de Planejamento, Orçamento e Administração do Ministério do Meio Ambiente"
44902,Fundo Nacional sobre Mudança no Clima
45282,Banco Nacional de Desenvolvimento Econômico e Social
45283,Instituto de Resseguros do Brasil
45724,CODIGO INVALIDO
46000,Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto
47000,Ministério do Planejamento e Orçamento - Unidades com vínculo direto
47214,Autoridade Pública Olímpica
48000,CODIGO VAGO - Unidades com vínculo direto
49000,Ministério do Desenvolvimento Agrário e Agricultura Familiar - Unidades com vínculo direto
49001,Fundo de Terras
49280,Empresa Brasileira de Correios e Telégrafos
49901,Fundo da Marinha Mercante
50000,Gabinete do Ministro Extraordinário de Projetos Especiais
51000,Ministério do Esporte - Unidades com vínculo direto
51801,"Secretaria de Planejamento, Orçamento e Administração/ME"
52000,Ministério da Defesa - Unidades com vínculo direto
52001,Fundo do Ministério da Defesa
52002,Fundo de Administração do Hospital das Forças Armadas
52003,Fundo do Serviço Militar
52111,Comando da Aeronáutica
52121,Comando do Exército
52131,Comando da Marinha
52132,Comando da Marinha - Fundo Naval
52133,Fundo de Desenvolvimento do Ensino Profissional Marítimo
52201,Agência Nacional de Aviação Civil
52211,Caixa de Financiamento Imobiliário da Aeronáutica
52212,Empresa Brasileira de Infraestrutura Aeroportuária
52221,Indústria de Material Bélico do Brasil
52222,Fundação Osório
52231,Empresa Gerencial de Projetos Navais
52233,Amazônia Azul Tecnologia de Defesa S.A.
52801,Secretaria de Organização Institucional
52904,Fundo do Exército
52911,Fundo Aeronáutico
52912,Fundo Aeroviário
52931,CODIGO INVALIDO
53000,Ministério da Integração e do Desenvolvimento Regional - Unidades com vínculo direto
53001,CODIGO INVALIDO
53202,Superintendência do Desenvolvimento da Amazônia
53203,Superintendência do Desenvolvimento do Nordeste
53204,Código sem efeito - pode ser reaproveitado conforme SOF
53205,Agência de Desenvolvimento da Amazônia
53206,Agência de Desenvolvimento do Nordeste
53207,Superintendência de Desenvolvimento do Centro-Oeste
53208,Fundo Constitucional de Financiamento do Norte
53209,Fundo Constitucional de Financiamento do Centro-Oeste
53210,Fundo Constitucional de Financiamento do Nordeste
53297,Código sem efeito - pode ser reaproveitado conforme SOF
53801,Departamento de Gestão Interna do Ministério da Integração e do Desenvolvimento Regional
53802,Departamento de Gestão de Fundos de Investimentos
53901,Fundo Constitucional de Financiamento do Norte
53902,Fundo Constitucional de Financiamento do Centro-Oeste
53903,Fundo Constitucional de Financiamento do Nordeste
53904,Fundo de Desenvolvimento da Amazônia
53905,Fundo de Desenvolvimento do Nordeste
