ano,orgao,codigo_orgao,orgao_superior,codigo_orgao_superior,empenhado,liquidado,pago,taxa_execucao,taxa_pagamento
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",26425,Ministério da Educação,26000,166302376.27,150459401.72,136290336.1,90.47,81.95
2023,Universidade Federal do Cariri,26449,Ministério da Educação,26000,157995522.17,148653025.03,135768263.16,94.09,85.93
2023,Universidade Federal do Sul da Bahia,26450,Ministério da Educação,26000,146780995.01,134089208.38,121161927.47,91.35,82.55
2023,Fundação Joaquim Nabuco,26292,Ministério da Educação,26000,137850771.62,132505499.34,121111215.44,96.12,87.86
2023,Universidade Federal do Oeste da Bahia,26447,Ministério da Educação,26000,144617121.3,134165164.09,118505719.91,92.77,81.94
2023,Universidade Federal de Jataí,26453,Ministério da Educação,26000,128670399.15,126507074.55,117932715.54,98.32,91.65
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá",26426,Ministério da Educação,26000,137441820.12,119448971.58,109355648.17,86.91,79.57
2023,Universidade Federal de Catalão,26452,Ministério da Educação,26000,126912565.25,118694666.62,107818368.96,93.52,84.95
2023,Universidade Federal de Rondonópolis,26454,Ministério da Educação,26000,113712444.34,108462115.04,97376010.49,95.38,85.63
2023,Universidade Federal do Delta do Parnaíba,26455,Ministério da Educação,26000,93167730.49,87935681.49,78268074.5,94.38,84.01
2023,Universidade Federal do Agreste de Pernambuco,26456,Ministério da Educação,26000,67918974.46,64782013.57,57375435.13,95.38,84.48
2023,Universidade Federal do Norte do Tocantins,26457,Ministério da Educação,26000,42735588.36,41318233.42,30661650.0,96.68,71.75
2024,Fundo Nacional de Desenvolvimento da Educação,26298,Ministério da Educação,26000,94588918368.01,77786388029.39,77721908268.51,82.24,82.17
2024,Empresa Brasileira de Serviços Hospitalares,26443,Ministério da Educação,26000,12702804938.68,10281632555.28,10147460198.79,80.94,79.88
2024,Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,26291,Ministério da Educação,26000,4934135644.19,4204316101.74,4194625210.57,85.21,85.01
2024,Universidade Federal do Rio de Janeiro,26245,Ministério da Educação,26000,4646511413.56,4513170441.85,4134112117.08,97.13,88.97
2024,Universidade Federal de Minas Gerais,26238,Ministério da Educação,26000,2987603078.36,2870060902.49,2618667501.99,96.07,87.65
2024,Universidade Federal Fluminense,26236,Ministério da Educação,26000,2757454333.67,2713081634.16,2501800721.66,98.39,90.73
